 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,31,18,24.9,3.4,8.2,0.409,0.3,1.3,0.231,3.1,6.9,0.442,0.427,0.9,1.6,0.569,2.4,5.3,7.6,1.4,0.6,0.7,1.1,2.3,7.9
2,Steven Adams\adamsst01,C,28,MEM,41,40,25.5,2.6,4.9,0.535,0,0,,2.6,4.9,0.535,0.535,1.7,2.8,0.6,4.3,5,9.3,3,0.9,0.6,1.6,1.7,7
3,Bam Adebayo\adebaba01,C,24,MIA,18,18,32.9,7,13.5,0.519,0,0.1,0,7,13.4,0.521,0.519,4.7,6.2,0.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
4,Santi Aldama\aldamsa01,PF,21,MEM,23,0,10.7,1.4,3.7,0.372,0.2,1.5,0.114,1.2,2.2,0.549,0.395,0.5,0.8,0.579,1,1.7,2.6,0.6,0.1,0.3,0.3,1,3.4
5,LaMarcus Aldridge\aldrila01,C,36,BRK,29,10,22.9,5.7,10.1,0.565,0.4,1.2,0.343,5.3,8.9,0.595,0.586,1.5,1.8,0.846,1.5,4.1,5.6,0.8,0.4,1.1,0.9,1.7,13.3
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,40,18,26.8,4.9,13.2,0.371,2,6.5,0.309,2.9,6.7,0.431,0.447,1.2,1.7,0.701,0.8,2.6,3.4,2.6,0.9,0.3,1.7,1.8,12.9
7,Grayson Allen\allengr01,SG,26,MIL,38,37,28.3,4.2,9.9,0.423,2.7,7,0.392,1.4,2.9,0.495,0.561,1,1.2,0.844,0.5,2.9,3.4,1.3,0.8,0.4,0.6,1.5,12.1
8,Jarrett Allen\allenja01,C,23,CLE,37,37,32.6,6.8,9.8,0.694,0,0.2,0.125,6.8,9.6,0.707,0.696,3,4.4,0.689,3.3,7.6,11,1.8,0.9,1.4,1.9,1.8,16.6
9,Jose Alvarado\alvarjo01,PG,23,NOP,16,0,8.2,0.8,2.4,0.308,0.4,1.4,0.273,0.4,1.1,0.353,0.385,0.6,0.9,0.643,0.3,0.8,1.1,1.4,0.8,0.1,0.2,0.9,2.4
10,Justin Anderson\anderju01,SF,28,TOT,6,0,12.8,1,3.2,0.316,0.5,2.5,0.2,0.5,0.7,0.75,0.395,1,1.2,0.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
10,Justin Anderson\anderju01,SF,28,CLE,3,0,15.7,1.3,2.7,0.5,0.7,2,0.333,0.7,0.7,1,0.625,1,1.3,0.75,0,2,2,2,0.3,0,0.7,1.3,4.3
10,Justin Anderson\anderju01,SF,28,IND,3,0,10,0.7,3.7,0.182,0.3,3,0.111,0.3,0.7,0.5,0.227,1,1,1,0.7,0.7,1.3,1,0.3,0.3,0.3,1.7,2.7
11,Kyle Anderson\anderky01,PF,28,MEM,37,8,22.5,3.3,7.5,0.437,0.7,2,0.356,2.6,5.5,0.466,0.484,1.1,1.6,0.661,0.9,4.4,5.3,2.6,1.1,0.6,1,1.5,8.3
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,36,36,32.5,9.9,18.4,0.539,1.1,3.9,0.281,8.8,14.5,0.607,0.568,7.6,10.7,0.712,1.8,9.5,11.3,6.1,1,1.5,3.4,3.2,28.5
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,28,5,11.9,1.4,2.9,0.463,0,0.4,0.091,1.3,2.5,0.521,0.47,0.5,0.9,0.625,1.1,1.7,2.8,0.7,0.5,0.3,0.6,1.9,3.3
14,Carmelo Anthony\anthoca01,PF,37,LAL,41,3,27,4.5,10.5,0.427,2.3,6,0.389,2.1,4.5,0.478,0.538,1.9,2.3,0.802,0.8,3.3,4.1,1,0.8,0.8,0.8,2.3,13.2
15,Cole Anthony\anthoco01,PG,21,ORL,30,30,33.6,6.5,16.1,0.403,2.5,7.4,0.342,4,8.7,0.454,0.481,3.6,4.3,0.852,0.6,5.6,6.2,5.8,0.8,0.2,2.7,2.7,19.2
16,OG Anunoby\anunoog01,SF,24,TOR,25,25,36.2,7,16.2,0.433,2.7,7.5,0.356,4.4,8.7,0.5,0.516,2.6,3.3,0.793,1.4,3.7,5.1,2.4,1.5,0.4,1.7,2.9,19.4
17,Trevor Ariza\arizatr01,SF,36,LAL,9,2,18.1,1.3,2.6,0.522,1.1,2.2,0.5,0.2,0.3,0.667,0.739,0.1,0.2,0.5,0.4,2.9,3.3,1.4,0.4,0.1,0.2,0.6,3.9
18,D.J. Augustin\augusdj01,PG,34,HOU,33,2,15,1.7,4,0.414,1.2,2.8,0.415,0.5,1.2,0.41,0.56,1,1.2,0.868,0.2,1,1.2,2.2,0.3,0,1.3,0.5,5.5
19,Deni Avdija\avdijde01,SF,21,WAS,43,5,22.8,2.6,6.1,0.429,0.8,2.8,0.298,1.8,3.3,0.543,0.498,1.1,1.5,0.719,0.7,4.1,4.8,1.5,0.8,0.7,0.9,2.3,7.1
20,Joel Ayayi\ayayijo01,SG,21,WAS,7,0,2.9,0.1,0.9,0.167,0,0.1,0,0.1,0.7,0.2,0.167,0,0,,0.1,0.3,0.4,0.6,0,0,0,0,0.3
21,Deandre Ayton\aytonde01,C,23,PHO,27,27,30.7,7.5,11.8,0.633,0.1,0.3,0.25,7.4,11.5,0.643,0.636,2.1,3,0.713,2.9,8,11,1.5,0.8,0.9,1.7,2.3,17.1
22,Udoka Azubuike\azubuud01,C,22,UTA,6,1,6.7,0.7,0.8,0.8,0,0,,0.7,0.8,0.8,0.8,0.2,0.3,0.5,0.3,1,1.3,0,0.2,0.3,0.3,0.5,1.5
